time	V(6)
7.532580431900137e-003	-2.112852e+000
7.542346056900137e-003	-2.770626e+000
7.561877306900136e-003	-4.052047e+000
7.581408556900136e-003	-5.272343e+000
7.600939806900135e-003	-6.413318e+000
7.620471056900135e-003	-7.457846e+000
7.640002306900135e-003	-8.390234e+000
7.659533556900134e-003	-9.196464e+000
7.679064806900134e-003	-9.864418e+000
7.698596056900133e-003	-1.038406e+001
7.718127306900133e-003	-1.074757e+001
7.737658556900133e-003	-1.094949e+001
7.757189806900132e-003	-1.098678e+001
7.776721056900132e-003	-1.085888e+001
7.796252306900131e-003	-1.056771e+001
7.815783556900132e-003	-1.011764e+001
7.835314806900131e-003	-9.515464e+000
7.854846056900131e-003	-8.770234e+000
7.874377306900130e-003	-7.893170e+000
7.893908556900130e-003	-6.897474e+000
7.913439806900130e-003	-5.798134e+000
7.932971056900129e-003	-4.611708e+000
7.952502306900129e-003	-3.356105e+000
7.962267931900129e-003	-2.708283e+000
7.972033556900128e-003	-2.050435e+000
7.981799181900128e-003	-1.385320e+000
7.991564806900128e-003	-7.180458e-001
8.001330431900128e-003	-5.186086e-002
8.010712516209929e-003	5.963399e-001
8.016190124581012e-003	9.810345e-001
8.021663743902176e-003	1.361283e+000
8.027892250425769e-003	1.786711e+000
8.037657875425769e-003	2.448324e+000
8.047423500425768e-003	3.100904e+000
8.066954750425768e-003	4.368239e+000
8.076720375425768e-003	4.978329e+000
8.086486000425767e-003	5.569637e+000
8.096251625425767e-003	6.139949e+000
8.106017250425767e-003	6.687119e+000
8.115782875425767e-003	7.209093e+000
8.125548500425767e-003	7.703907e+000
8.135314125425766e-003	8.169701e+000
8.145079750425766e-003	8.604721e+000
8.154845375425766e-003	9.007332e+000
8.164611000425766e-003	9.376019e+000
8.174376625425766e-003	9.709394e+000
8.184142250425765e-003	1.000620e+001
8.193907875425765e-003	1.026533e+001
8.203673500425765e-003	1.048580e+001
8.213439125425765e-003	1.066679e+001
8.223204750425765e-003	1.080761e+001
8.232970375425764e-003	1.090773e+001
8.242736000425764e-003	1.096678e+001
8.252501625425764e-003	1.098454e+001
8.262267250425764e-003	1.096095e+001
8.272032875425764e-003	1.089608e+001
8.281798500425763e-003	1.079019e+001
8.291564125425763e-003	1.064368e+001
8.301329750425763e-003	1.045709e+001
8.311095375425763e-003	1.023114e+001
8.320861000425762e-003	9.966663e+000
8.330626625425762e-003	9.664670e+000
8.340392250425762e-003	9.326291e+000
8.350157875425762e-003	8.952802e+000
8.359923500425762e-003	8.545609e+000
8.369689125425761e-003	8.106243e+000
8.379454750425761e-003	7.636360e+000
8.389220375425761e-003	7.137730e+000
8.398986000425761e-003	6.612228e+000
8.408751625425761e-003	6.061836e+000
8.418517250425760e-003	5.488626e+000
8.428282875425760e-003	4.894761e+000
8.438048500425760e-003	4.282481e+000
8.457579750425760e-003	3.012014e+000
8.467345375425759e-003	2.358681e+000
8.477111000425759e-003	1.696716e+000
8.486876625425759e-003	1.029252e+000
8.496642250425759e-003	3.661436e-001
8.503308638741051e-003	-8.505967e-002
8.507386230048757e-003	-3.706118e-001
8.512335298877929e-003	-7.227014e-001
