time	V(6)	V(n006)
Step Information: Vdc=-500m  (Run: 1/3)
4.364377135506386e-003	2.849658e+000	2.519852e-001
4.374142760506385e-003	2.396329e+000	2.102362e-001
4.383908385506385e-003	1.913377e+000	1.658141e-001
4.393674010506385e-003	1.402770e+000	1.188859e-001
4.403439635506385e-003	8.670555e-001	6.962848e-002
4.413205260506385e-003	3.163241e-001	1.836594e-002
4.420124060136088e-003	-8.430788e-002	-1.907207e-002
4.424420194022112e-003	-3.481432e-001	-4.286687e-002
4.429613898452846e-003	-6.777743e-001	-7.213053e-002
4.434328109354012e-003	-9.758769e-001	-9.909143e-002
4.440268437718984e-003	-1.355103e+000	-1.336497e-001
4.450034062718984e-003	-1.989383e+000	-1.914771e-001
4.459799687718984e-003	-2.634861e+000	-2.503264e-001
4.479330937718983e-003	-3.955317e+000	-3.706191e-001
