time	V(file_1)	V(file_1)-V(wh_2)	V(wh_2)
8.599999999999999e-002	9.022400e-002	1.044700e-001	-1.424603e-002
8.606401222081482e-002	7.663401e-002	1.005382e-001	-2.390423e-002
8.619203666244447e-002	4.945404e-002	1.175967e-001	-6.814262e-002
8.644808554570377e-002	-4.905905e-003	1.893143e-001	-1.942202e-001
8.696018331222236e-002	-1.136258e-001	3.301995e-001	-4.438253e-001
8.699999999999999e-002	-1.220790e-001	3.319265e-001	-4.540055e-001
8.707963337555527e-002	-3.239908e-002	4.035535e-001	-4.359525e-001
8.723890012666583e-002	1.469608e-001	5.048947e-001	-3.579339e-001
8.755743362888693e-002	5.056804e-001	6.620771e-001	-1.563966e-001
8.800000000000000e-002	1.004081e+000	9.110080e-001	9.307302e-002
8.806370670044422e-002	9.462570e-001	8.550200e-001	9.123699e-002
8.819112010133266e-002	8.306089e-001	7.477907e-001	8.281822e-002
8.895560050666332e-002	1.367206e-001	1.257969e-001	1.092369e-002
8.900000000000000e-002	9.642100e-002	8.770228e-002	8.718720e-003
8.908879898667335e-002	1.147947e-001	1.097373e-001	5.057347e-003
8.926639696002006e-002	1.515420e-001	1.617250e-001	-1.018297e-002
8.962159290671348e-002	2.250367e-001	2.732370e-001	-4.820032e-002
9.000000000000000e-002	3.033340e-001	3.854467e-001	-8.211271e-002
9.007103918933868e-002	2.348052e-001	3.102225e-001	-7.541728e-002
